# Barnet recycling collection data from:
# http://www.ectrecycling.co.uk/page/421
# http://www.ectrecycling.co.uk/page/422
# http://www.ectrecycling.co.uk/page/423
# collected 4-Jul-2011
# Note: must contain the following title line:
street,postcode,type,days
Links Drive,N20 8QU,R,Wednesday
Links View,,R,Thursday
Linkside,N12 7LE,R,Thursday
Linksway,NW4 1JR,R,Thursday
Linnell Close,NW11 7LN,R,Friday
Linnell Drive,NW11 7LL,R,Friday
Linthorpe Road,EN4 9BX,R,Tuesday
Litchfield Way,NW11 6NE,R,Friday
Litchfield Way,NW11 6NG,R,Friday
Little Grove,EN4 8UG,R,Tuesday
Little Cedars,N12 8TH,R,Wednesday
Littlefield Road,HA8 0TA,R,Monday
Llanelly Road,NW2 2BB,R,Friday
Llanvanor Road,NW2 2AR,R,Friday
Lodge Lane,N12 8JG,R,Wednesday
Lodge Road,NW4 4DD,R,Friday
Long Lane,N3 2HX,R,Thursday
Long Lane,N3 2QY,R,Thursday
Long Lane,N2 8JL,R,Thursday
Long Mead,,R,Monday
Longfield Avenue,NW7 2EG,R,Thursday
Longland Drive,N20 8HA,R,Wednesday
Longmore Avenue,EN4 8AE,R,Tuesday
Lorian Close,N12 7DW,R,Wednesday
Loring Road,N20 0UH,R,Wednesday
Louis Mews,N10 2HE,R,Wednesday
Lovatt Close,HA8 9XG,R,Monday
Lovelace Road,EN4 8EA,R,Wednesday
Lovers Walk,N3 1JH,R,Thursday
Lucan Road,EN5 4HA,R,Tuesday
Lucas Square,,R,Friday
Ludford Close,NW9 5WD,R,Monday
Ludlow Way,N2 0JZ,R,Friday
Lullington Garth,N12 7AP,R,Thursday
Luther Close,HA8 8YY,R,Monday
Lyndale,NW2 2NY,R,Friday
Lyndale Avenue,,R,Friday
Lyndale Avenue,NW2 2PY,R,Friday
Lyndhurst Avenue,NW7 2AB,R,Monday
Lyndhurst Avenue,N12 0LU,R,Wednesday
Lyndhurst Gardens,N3 1TA,R,Thursday
Lynford Close,HA8 0UE,R,Monday
Lynford Close,EN5 3HQ,R,Tuesday
Lynford Gardens,HA8 8TX,R,Monday
Lynton Avenue,NW9 6PA,R,Monday
Lynton Avenue,N12 9JH,R,Wednesday
Lynton Mead,N20 8BX,R,Wednesday
Lyonsdown Avenue,EN5 1DU,R,Tuesday
Lyonsdown Road,EN5 1HR,R,Tuesday
Lyttelton Road,N2 0DD,R,Friday
Lytton Close,N2 0RH,R,Friday
Lytton Road,EN5 1PY,R,Tuesday
Macaret Close,N20 9RA,R,Tuesday
Macdonald Road,N11 3JB,R,Wednesday
Magnolia Gardens,,R,Monday
Magpie Close,NW9 5DD,R,Monday
Malcolm Crescent,NW4 4PL,R,Monday
Malham Close,N11 3EW,R,Wednesday
Malins Close,EN5 3AX,R,Tuesday
Mallard Close,EN5 1DH,R,Tuesday
Mallory Gardens,EN4 8LG,R,Wednesday
Mallow Mead,,R,Thursday
Malvern Gardens,NW2 1QL,R,Friday
Mandeville Road,N14 7NH,R,Wednesday
Manns Road,HA8 7NF,R,Monday
Manor Close,,R,Monday
Manor Close,EN5 4BP,R,Tuesday
Manor Drive,NW7 3ND,R,Monday
Manor Drive,N14 5JH,R,Wednesday
Manor Drive,N20 0DT,R,Wednesday
Manor Road,EN5 2JG,R,Tuesday
Manor View,N3 2SR,R,Thursday
Manor Way,NW9 6JB,R,Monday
Manor Cottages Approach,N2 8JR,R,Thursday
Manor Hall Avenue,NW4 1NX,R,Thursday
Manor Park Crescent,HA8 7LU,R,Monday
Manor Park Gardens,HA8 7NA,R,Monday
Manor Park Road,N2 0SH,R,Friday
Manorside,EN5 2LD,R,Tuesday
Mansfield Avenue,EN4 8QD,R,Tuesday
Maple Close,N3 1AS,R,Thursday
Maple Gardens,HA8 0JQ,R,Monday
Marble Drive,NW2 1XA,R,Friday
Margaret Road,EN4 8AA,R,Tuesday
Marion Road,NW7 4AL,R,Thursday
Market Lane,HA8 0LP,R,Monday
Market Place,NW11 6JG,R,Friday
Market Place,N2 8BB,R,Thursday
Marlborough Avenue,HA8 8UT,R,Monday
Marlborough Avenue,N14 7LE,R,Wednesday
Marlborough Close,N20 0SB,R,Wednesday
Marlborough Gardens,N20 0SA,R,Wednesday
Marlow Court,,R,Monday
Marne Avenue,N11 1JU,R,Wednesday
Marnham Avenue,NW2 2SP,R,Friday
Marriots Close,NW9 7QB,R,Monday
Marriott Road,EN5 4NJ,R,Tuesday
Marsh Close,NW7 4NY,R,Thursday
Marsh Drive,NW9 7QE,R,Monday
Marsh Lane,NW7 4LE,R,Thursday
Marshalls Close,N11 1TB,R,Wednesday
Martins Mount,EN5 5LQ,R,Tuesday
Martins Walk,N10 1JT,R,Wednesday
Martock Gardens,N11 3GH,R,Wednesday
Marwood Drive, NW7,R,Friday
Maryrose Way,N20 9RP,R,Wednesday
Matlock Close,EN5 2RS,R,Tuesday
Maurice Walk,NW11 6JX,R,Friday
Maxfield Close,N20 9DF,R,Tuesday
Maxwelton Avenue,NW7 3NB,R,Monday
Maxwelton Close,NW7 3NA,R,Monday
Maya Road,N2 0PP,R,Friday
Mayfield Avenue,N12 9HY,R,Wednesday
Mayfield Gardens,NW4 2QA,R,Friday
Mayhill Road,EN5 2NP,R,Tuesday
Mays Lane,EN5 2DU,R,Tuesday
MAYS 175 ONWARDS LANE,EN5 2AG,R,Tuesday
Maytree Close,HA8 8XX,R,Monday
Meadfield,HA8 8XL,R,Monday
Meadfield Green,HA8 8XR,R,Monday
Meadow Close,,R,Tuesday
Meadow Drive,NW4 1SA,R,Monday
Meadow Gardens,HA8 9LH,R,Monday
Meadowbank Close,EN5 3LY,R,Tuesday
Meadway,NW11 6PJ,R,Friday
Meadway,EN5 5JX,R,Tuesday
Meadway Close,NW11 7BH,R,Friday
Meadway Close,EN5 5LA,R,Tuesday
Meadway Gate,NW11 7LB,R,Friday
Mendip Drive,,R,Friday
Metheringham Way,NW9 5WT,R,Monday
Michleham Down,N12 7JJ,R,Wednesday
Middle Dene,NW7 3BA,R,Monday
Middle Road,EN4 8TE,R,Tuesday
Middleton Road,NW11 7NR,R,Friday
Middleway,NW11 6NH,R,Friday
Midholm,NW11 6LL,R,Friday
Midholm Close,NW11 6EB,R,Friday
Midland Terrace,NW2 6QH,R,Friday
Miles Way,N20 0BZ,R,Wednesday
Milespit Hill,NW7 1RB,R,Thursday
Mill Corner,EN5 4PX,R,Tuesday
Mill Ridge,HA8 7PE,R,Monday
Millfield Road,HA8 0DH,R,Monday
Milling Road,HA8 0PL,R,Monday
Mills Grove,NW4 1TS,R,Friday
Millson Close,N20 0LQ,R,Wednesday
Millway,NW7 3JJ,R,Thursday
Milton Avenue,EN5 2EU,R,Tuesday
Milton Close,N2 0QH,R,Friday
Milton Road,NW7 4AU,R,Thursday
Moat Crescent,N3 3DD,R,Thursday
Monkfrith Close,N14 5NB,R,Wednesday
Monks Avenue,EN5 1BZ,R,Tuesday
Monks Way,NW11 0AF,R,Friday
Monkville Avenue,NW11 0AH,R,Friday
Montagu Road,NW4 3ER,R,Monday
Montpelier Rise,NW11 9DS,R,Friday
Montpelier Road,N3 2ER,R,Thursday
Montrose Avenue,HA8 0DN,R,Monday
Montrose Crescent,N12 0ED,R,Thursday
Moon Lane,EN5 5YL,R,Tuesday
Moorlands Avenue,NW7 2DF,R,Thursday
Moreton Close,,R,Thursday
Morland Close,NW11 7JG,R,Friday
Morley Crescent,HA8 8XE,R,Monday
Morrel Close,EN5 5JU,R,Tuesday
Mortimer Close,,R,Friday
Mortimer Close,,R,Friday
Moss Hall Crescent,N12 8NY,R,Thursday
Moss Hall Grove,N12 8PA,R,Thursday
Mossborough Close,N12 8PF,R,Thursday
Mostyn Road,HA8 0JD,R,Monday
Mount Grove,HA8 9SU,R,Monday
Mount Parade,,R,Tuesday
Mount Pleasant,EN4 9DD,R,Tuesday
Mount Road,NW4 3QA,R,Monday
Mount Road,EN4 9RL,R,Tuesday
Mount View,NW7 3HT,R,Monday
Mountfield Road,N3 3NB,R,Thursday
Mowbray Road,HA8 8JG,R,Monday
Mowbray Road,EN5 1RH,R,Tuesday
Mowbray Road,,R,Monday
Moxon Street,EN5 5TS,R,Tuesday
Myddelton Park,N20 0HS,R,Wednesday
Myrtle Close,EN4 8PL,R,Wednesday
Nan Clarks Lane,NW7 4HJ,R,Monday
Nant Road,NW2 2AJ,R,Friday
Naylor Road,N20 0HE,R,Wednesday
Neale Close,N2 0LE,R,Friday
Needham Terrace,NW2 6QL,R,Friday
Neeld Crescent,NW4 3RP,R,Monday
Nether Close,N3 1AA,R,Thursday
Nether Street,N3 1HT,R,Thursday
Nether Street, N12,R,Thursday
Nethercourt Avenue,N3 1PS,R,Thursday
Netherfield Road,N12 8DP,R,Thursday
Netherlands Road,EN5 1BN,R,Tuesday
Netherwood,N2 8HH,R,Friday
Neville Drive,N2 0QR,R,Friday
New Road,NW7 1HT,R,Thursday
New Road,,R,Thursday
New Ash Close,N2 8DQ,R,Thursday
New Oak Road,N2 8LN,R,Thursday
New Trinity Road,N2 8EE,R,Thursday
New Way Road,NW9 6HN,R,Monday
Newark Parade,NW4 4JA,R,Monday
Newark Way,NW4 4JG,R,Monday
Newcombe Park,NW7 3QL,R,Thursday
Newcombe Park,NW7 3QN,R,Thursday
Newlands Close,HA8 8DQ,R,Monday
Newlands Place,EN5 2SX,R,Tuesday
Newlyn Road,,R,Tuesday
Newstead Close,N12 0TE,R,Thursday
Newton Avenue,N10 2NB,R,Wednesday
Newton Walk,HA8 0BX,R,Monday
Nicoll Place,NW4 3PD,R,Monday
Niton Close,EN5 2RQ,R,Tuesday
Norbury Grove,NW7 4LS,R,Monday
Norfolk Close,N2 8ET,R,Thursday
Norfolk Road,EN5 5LS,R,Tuesday
Normandy Avenue,EN5 2HS,R,Tuesday
Norrice Lea,N2 0RD,R,Friday
Norrys Close,EN4 9JY,R,Tuesday
North Acre,NW9 5GF,R,Monday
North Close,EN5 3AW,R,Tuesday
North Crescent,N3 3LL,R,Thursday
North Dene,NW7 3AT,R,Monday
North Road,HA8 0AG,R,Monday
North Square,NW11 7AA,R,Friday
North End Road,NW11 7HT,R,Friday
Northbrook Road,EN5 2PA,R,Tuesday
Northcliffe Drive,N20 8JS,R,Wednesday
Northfield Road,EN4 9DL,R,Tuesday
Northgate Drive,NW9 7RD,R,Monday
Northiam,N12 7ET,R,Wednesday
Northolm,HA8 9RL,R,Monday
Northumberland Road,EN5 1EA,R,Tuesday
Northway,NW11 6PE,R,Friday
Northway Crescent,NW7 3JP,R,Thursday
Northwood Gardens,N12 9DR,R,Wednesday
Norwich Walk,HA8 0TZ,R,Monday
Nupton Drive,EN5 2QT,R,Tuesday
Nurse Close,,R,Monday
Nursery Avenue,N3 2RD,R,Thursday
Nursery Walk,,R,Monday
Nursery Road,,R,Thursday
Nurserymans Road,N11 1DW,R,Wednesday
Nutt Grove,,R,Monday
Oak Avenue,N10 2RP,R,Wednesday
Oak Close,N14 5NR,R,Wednesday
Oak Grove,NW2 3LP,R,Friday
Oak Lane,N2 8LP,R,Thursday
Oak Tree Drive,N20 8QH,R,Wednesday
Oakdale,N14 5RA,R,Wednesday
Oakdene Park,N3 1EU,R,Thursday
Oakfield Road,N3 2HT,R,Thursday
Oakfields Road,NW11 0HY,R,Friday
Oakham Close,EN4 9TS,R,Tuesday
Oakhampton Close,,R,Thursday
Oakhampton Road,NW7 1NG,R,Thursday
Oakhurst Avenue,EN4 8DL,R,Wednesday
Oaklands Lane,EN5 3JN,R,Tuesday
Oaklands Road,N20 8AX,R,Wednesday
Oakleigh Avenue,N20 9JB,R,Wednesday
Oakleigh Close,N20 0RT,R,Wednesday
Oakleigh Crescent,N20 0BJ,R,Wednesday
Oakleigh Gardens,HA8 8EA,R,Monday
Oakleigh Gardens,N20 9AB,R,Tuesday
Oakleigh Park North,N20 9AN,R,Wednesday
Oakleigh Road North,N20 0DG,R,Wednesday
Oakleigh Road South,N11 1HE,R,Wednesday
Oakmead Gardens,HA8 9RW,R,Monday
Oakridge Drive,N2 8DF,R,Thursday
Oakview Gardens,N2 0NJ,R,Friday
Oakwood Drive,HA8 9LG,R,Monday
Oakwood Road,NW11 6QU,R,Friday
Offham Slope,N12 7BZ,R,Thursday
Okehampton Close,N12 9TX,R,Wednesday
Old Farm Road,,R,Thursday
Old Fold Close,EN5 4QL,R,Tuesday
Old Fold Lane,EN5 4QN,R,Tuesday
Old Fold View,EN5 4EA,R,Tuesday
Old Rectory Gardens,HA8 7LS,R,Monday
Oldberry Road,HA8 9DA,R,Monday
Orange Hill Road,HA8 0SR,R,Monday
Orchard Avenue,N3 3NL,R,Friday
Orchard Avenue,N20 0JA,R,Wednesday
Orchard Crescent,HA8 9PN,R,Monday
Orchard Drive,HA8 7SD,R,Monday
Orchard Gate,NW9 6HU,R,Monday
Orchard Road,EN5 2HL,R,Tuesday
Osborn Gardens,NW7 1DY,R,Thursday
Osborne Close,EN4 9TU,R,Tuesday
Osidge Lane,N14 5DN,R,Wednesday
Ossulton Place,,R,Friday
Ossulton Way,N2 0DS,R,Friday
Oxford Avenue, N12,R,Wednesday
Oxford Gardens,N20 9AG,R,Tuesday
Page Street,NW7 2BE,R,Thursday
Pageant Avenue,NW9 5LQ,R,Monday
Palmers Gardens,EN5 2RR,R,Tuesday
Pank Avenue,EN5 1NF,R,Tuesday
Park Avenue,NW11 7SJ,R,Friday
Park Avenue,NW11 7SL,R,Friday
Park Avenue,N3 2EJ,R,Thursday
Park Crescent,N3 2NJ,R,Thursday
Park Croft,HA8 0SP,R,Monday
Park Drive,NW11 7SG,R,Friday
Park Gate,N2 8DJ,R,Thursday
Park Grove,HA8 7SH,R,Monday
Park Road,NW4 3PA,R,Monday
Park Road,EN5 5RQ,R,Tuesday
Park Road,EN4 9QA,R,Tuesday
Park Way,NW11 0EX,R,Friday
Park Way,N20 0XS,R,Wednesday
Park Farm Close,N2 0PU,R,Friday
Park Hall Road,N2 9PT,R,Thursday
Park View Crescent,N11 1JY,R,Wednesday
Park View Gardens,NW4 2PN,R,Friday
Park View Road,N3 2JA,R,Thursday
Parkfield Close,HA8 9AJ,R,Monday
Parkhurst Road,N11 3EL,R,Wednesday
Parklands Drive,N3 3HA,R,Thursday
Parkmead Gardens,NW7 2JW,R,Thursday
Parkside,NW7 2LP,R,Thursday
Parkside,N3 2PJ,R,Thursday
Parkside Drive,HA8 8JU,R,Monday
Parkside Gardens,EN4 8JP,R,Wednesday
Parkwood,,R,Wednesday
Parnell Close,HA8 8YE,R,Monday
Parson Street,NW4 1QB,R,Friday
Parsons Crescent,HA8 8QG,R,Monday
Partingdale Lane,NW7 1NS,R,Thursday
Partridge Close,EN5 2DT,R,Tuesday
Pasteur Close,NW9 5HN,R,Monday
Pattison Road,NW2 2HH,R,Friday
Pavilion Mews,N3 3QD,R,Thursday
Pavilion Way,HA8 9YA,R,Monday
Pearl Close,NW2 1XG,R,Friday
Pembroke Road,N10 2HR,R,Wednesday
Pendall Close,EN4 9AZ,R,Tuesday
Pennine Drive,NW2 1NG,R,Friday
Penshurst Gardens,HA8 9TL,R,Monday
Penslever Close,,R,Tuesday
Penstemon Close,N3 1PW,R,Thursday
Pentland Avenue,HA8 8LA,R,Monday
Pentland Close,NW11 8SP,R,Friday
Pepys Crescent,EN5 3EG,R,Tuesday
Percy Road,N12 8BS,R,Thursday
Pert Close,N10 2RY,R,Wednesday
Petworth Road,N12 9HH,R,Wednesday
Pickering Gardens,N11 3GG,R,Wednesday
Pilgrims Rise,EN4 9QP,R,Tuesday
Pine Grove,N20 8LA,R,Wednesday
Pine Road,N11 1EP,R,Wednesday
Pinecroft Crescent,EN5 2NX,R,Tuesday
Pipers Green Lane,HA8 8DG,R,Monday
Plantagenet Road,EN5 5JG,R,Tuesday
Platts Lane,NW3 7NH,R,Friday
Playfield Road,HA8 0DF,R,Monday
Pocklington Close,NW9 5WS,R,Monday
Pointalls Close,N3 2RR,R,Thursday
Pollard Road,N20 0UB,R,Wednesday
Pond Close,N12 0LZ,R,Thursday
Poolsford Road,NW9 6HP,R,Monday
Poplar Grove,N11 3NH,R,Wednesday
Porch Way,N20 0DS,R,Wednesday
Portman Gardens,NW9 5AS,R,Monday
Portsdown Avenue,NW11 0NB,R,Friday
Potters Lane,EN5 5AG,R,Tuesday
Potters Road,EN5 5HF,R,Tuesday
Powis Gardens,NW11 8HH,R,Friday
Poynings Way,N12 7LP,R,Thursday
Prayle Grove,NW2 1AR,R,Friday
Prevost Road,N11 1EN,R,Wednesday
Price Close,NW7 1WX,R,Thursday
PRINCE OF WALES CLOSE,NW4 4QN,R,Monday
Princes Avenue,N3 2BW,R,Thursday
Princes Close,HA8 7QB,R,Monday
Princes Park Avenue,NW11 0JP,R,Friday
Priory Close,N3 1BB,R,Thursday
Priory Close,N20 8BB,R,Wednesday
Priory Grove,,R,Tuesday
Priory Field Drive,HA8 9PT,R,Monday
Prospect Place,N2 0XA,R,Friday
Prospect Place,NW2 2JX,R,Friday
Prospect Ring,N2 8BS,R,Thursday
Prospect Road,NW2 2JU,R,Friday
Prospect Road,EN5 5AD,R,Tuesday
Prothero Gardens,NW4 3SJ,R,Monday
Pulham Avenue,N2 0LR,R,Friday
Puller Road,EN5 4HD,R,Tuesday
Purbeck Drive,,R,Friday
Purcells Avenue,HA8 8DP,R,Monday
Purley Avenue,NW2 1SB,R,Friday
Pursley Road,NW7 2BP,R,Thursday
Pyecombe Corner,N12 7AJ,R,Thursday
Pym Close,EN4 8BW,R,Tuesday
Pymmes Green Road,N11 1BY,R,Wednesday
Pymmes Green Road,N11 1DB,R,Wednesday
Pymms Brook Drive,EN4 9RU,R,Tuesday
Quantock Gardens,NW2 1PJ,R,Friday
Queens Avenue,N3 2NN,R,Thursday
Queens Avenue,N20 0HZ,R,Wednesday
Queens Close,HA8 7PU,R,Monday
Queens Road,N 3,R,Thursday
Queens Road,NW4 2HE,R,Monday
Queens Road,EN5 4DH,R,Tuesday
Queens Way,,R,Monday
Queens Well Avenue,N20 0XY,R,Wednesday
Queenswood Park,N3 1UN,R,Thursday
Quinta Drive,EN5 3AA,R,Tuesday
Radstock Close,N11 3GQ,R,Wednesday
Raebarn Gardens,EN5 3DB,R,Tuesday
Raeburn Close,NW11 6UE,R,Friday
Raleigh Close,NW4 2SX,R,Monday
Raleigh Drive,N20 0UT,R,Wednesday
Ramillies Road,NW7 4LX,R,Monday
Ramsden Road,N11 3JD,R,Wednesday
Ramsey Close,NW9 7DW,R,Monday
Ranelagh Close,HA8 8HL,R,Monday
Rankin Close,NW9 6SR,R,Monday
Rannoch Close,HA8 8BU,R,Monday
Ranulf Road,NW2 2DG,R,Friday
Rasper Road,N20 0LU,R,Wednesday
Rathgar Close,N3 1UA,R,Thursday
Raven Close,,R,Monday
Ravenscroft Avenue,,R,Friday
Ravenscroft Avenue,NW11 0RY,R,Friday
Ravenscroft Park,EN5 4ND,R,Tuesday
Ravensdale Avenue,N12 9HP,R,Wednesday
Ravenshurst Avenue,NW4 4EE,R,Friday
Rawlins Close,N3 3TA,R,Thursday
Raydean Road,EN5 1AN,R,Tuesday
Rectory Lane,HA8 7LG,R,Monday
Red Lion Hill,N2 8ED,R,Thursday
Redbourne Avenue,N3 2BP,R,Thursday
Reddings Close,NW7 4JL,R,Thursday
Redwood Way,EN5 2RT,R,Tuesday
Reets Farm Close,NW9 7HN,R,Monday
Regal Drive,,R,Wednesday
Regency Crescent,NW4 1NW,R,Thursday
Regent Close,N12 8LX,R,Thursday
Regents Park Road,N3 3PB,R,Thursday
Regina Close,EN5 4DR,R,Tuesday
Renters Avenue,NW4 3QY,R,Friday
Reynolds Close,NW11 7EA,R,Friday
Ribblesdale Avenue,N11 3AQ,R,Wednesday
Richmond Gardens,NW4 4RT,R,Monday
Richmond Road,N2 8JT,R,Thursday
Richmond Road,EN5 1RX,R,Tuesday
Rickard Close,NW4 4XH,R,Monday
Ridge Close,NW4 1ER,R,Thursday
Ridge Hill,NW11 8PN,R,Friday
Ridge Road,NW2 2QS,R,Friday
Ridgemont Gardens,HA8 9SN,R,Monday
Ridgeview Close,EN5 2QB,R,Tuesday
Ridgeview Road,N20 0HG,R,Wednesday
Ridgeway Avenue,EN4 8TL,R,Tuesday
Riverdene,HA8 9TD,R,Monday
Riverside,NW4 3TU,R,Monday
Riverside Gardens,N3 3GR,R,Thursday
Rivington Crescent,NW7 2LE,R,Monday
Robin Close,NW7 3AF,R,Monday
Rockways,EN5 3JJ,R,Tuesday
Rodborough Road,NW11 8SA,R,Friday
Rodmell Slope,N12 7BX,R,Thursday
Rolfe Close,EN4 9QU,R,Tuesday
Roman Road,N10 2NH,R,Wednesday
Romney Close,NW11 7JD,R,Friday
Rookery Close,NW9 6QJ,R,Monday
Roscoff Close,HA8 0BY,R,Monday
Rosebank Close,N12 9LJ,R,Wednesday
Rosemary Avenue,N3 2QN,R,Thursday
Rosemead,NW9 7QJ,R,Monday
Rosemont Avenue,N12 0BX,R,Thursday
Rosens Walk,HA8 8UR,R,Monday
Rossiter Fields,EN5 2UT,R,Tuesday
Rosslyn Avenue,EN4 8DH,R,Wednesday
Rotherwick Road,NW11 7DA,R,Friday
Rowan Drive,NW9 5JL,R,Monday
Rowan Walk,N2 0QJ,R,Friday
Rowben Close,N20 8QR,R,Wednesday
Rowlands Close,NW7 2DL,R,Thursday
Rowley Lane,EN5 3HN,R,Tuesday
Rowley Green Road,EN5 3HH,R,Tuesday
Rowsley Avenue,NW4 1AJ,R,Monday
Ruddock Close,HA8 0SG,R,Monday
Ruddy Way,,R,Thursday
Rudyard Grove,NW7 3EE,R,Monday
Rundell Crescent,NW4 3BP,R,Monday
Rushden Gardens,NW7 2NY,R,Thursday
Rushdene Avenue,EN4 8EW,R,Wednesday
Rushgrove Avenue,NW9 6QL,R,Monday
Rushmore Close,,R,Monday
Rushworth Gardens,,R,Monday
Ruskin Close,NW11 7AU,R,Friday
Russell Gardens,NW11 9NJ,R,Friday
Russell Gardens,N20 0TR,R,Wednesday
Russell Grove,NW7 3QX,R,Thursday
Russell Lane,N20 0AA,R,Wednesday
Russell Road,NW9 6AB,R,Monday
Russell Road,N20 0TN,R,Wednesday
Ruston Gardens,,R,Wednesday
Ruthin Close,NW9 7RP,R,Monday
Rydal Close,,R,Thursday
Ryecroft Crescent,EN5 3BZ,R,Tuesday
Ryhope Road,N11 1BX,R,Wednesday
Saddlers Close,EN5 3LU,R,Tuesday
Saddlescombe Way,N12 7LS,R,Thursday
Saffron Close,N W11,R,Friday
Salcombe Gardens,NW7 2NT,R,Thursday
Salisbury Avenue,N3 3AG,R,Thursday
Salisbury Road,EN5 4JL,R,Tuesday
Sampson Avenue,EN5 2RN,R,Tuesday
Sandbrook Close,,R,Monday
Sanders Lane,NW7 1BD,R,Thursday
Sanderstead Avenue,NW2 1SE,R,Friday
Sandringham Gardens,N12 0NX,R,Thursday
Sandringham Road,NW11 9DP,R,Friday
Sandwick Close,NW7 2AX,R,Thursday
Savoy Close,HA8 7QF,R,Monday
School Way,N12 0RY,R,Thursday
Scottwell Drive,NW9 6QA,R,Monday
Seaton Square, NW7,R,Friday
Sebergham Grove,NW7 2AU,R,Thursday
Sebright Road,EN5 4HL,R,Tuesday
Second Avenue,NW4 2RN,R,Friday
Sedgemere Avenue,N2 0SX,R,Friday
Seelig Avenue,NW9 7BB,R,Monday
Sefton Avenue,NW7 3QB,R,Monday
Selborne Gardens,NW4 4SH,R,Monday
Sellers Hall Close,N3 1JL,R,Thursday
Sellwood Drive,EN5 2RJ,R,Tuesday
Selvage Lane,NW7 3JT,R,Monday
Sevington Road,NW4 3RS,R,Monday
Seymour Road,N3 2NG,R,Thursday
Shaftesbury Avenue,EN5 5JA,R,Tuesday
Shakespeare Road,NW7 4BA,R,Thursday
Shamrock Way,N14 5RY,R,Wednesday
Shannon Close,NW2 1RW,R,Friday
Shapwick Close,N11 3GN,R,Wednesday
Sheaveshill Avenue,NW9 6RS,R,Monday
Shelford Road,EN5 2AN,R,Tuesday
Shelley Close,HA8 8DX,R,Monday
Sheridan Walk,NW11 7UF,R,Friday
Sherrards Way,EN5 2BJ,R,Tuesday
Sherrock Gardens,NW4 4JJ,R,Monday
Sherwood Road,NW4 1AD,R,Friday
Sherwood Street,N20 0NB,R,Wednesday
Sherwood Terrace,N20 0NA,R,Wednesday
Shillingford Close, NW7,R,Friday
Shirehall Close,NW4 2QP,R,Friday
Shirehall Gardens,NW4 2QS,R,Friday
Shirehall Lane,NW4 2PD,R,Friday
Shirehall Park,NW4 2QJ,R,Friday
Shirwell Close, NW7,R,Friday
Shortgate,N12 7JP,R,Wednesday
Shortway,N12 0RX,R,Thursday
Shrublands Close,,R,Wednesday
Shurland Avenue,EN4 8DA,R,Wednesday
Silkfield Road,NW9 6QT,R,Monday
Silkstream Road,HA8 0DA,R,Monday
Silver Birch Close,N11 3NW,R,Wednesday
Silvercliffe Gardens,EN4 9QT,R,Tuesday
Simmons Way,N20 0TL,R,Wednesday
Sinclair Grove,NW11 9JG,R,Friday
Singleton Scarp,N12 7AR,R,Thursday
Skipton Close,N11 3EZ,R,Wednesday
Sneath Avenue,NW11 9AH,R,Friday
Snowdon Drive,NW9 7RA,R,Monday
Somaford Grove,EN4 8UL,R,Wednesday
Somercoates Close,EN4 9ED,R,Tuesday
Somerset Road,NW4 4EJ,R,Friday
Somerset Road,EN5 1JD,R,Tuesday
Somerton Road,NW2 1RH,R,Friday
Sonia Gardens,N12 8BB,R,Wednesday
South Acre,NW9 5FP,R,Monday
South Close,EN5 5TP,R,Tuesday
South Dene,NW7 3BE,R,Monday
South Mead,NW9 5QS,R,Monday
South Road,,R,Monday
South Square,NW11 7AJ,R,Friday
Southbourne Avenue,NW9 5BT,R,Monday
Southbourne Crescent,NW4 2JX,R,Friday
Southfield,EN5 2AS,R,Tuesday
Southfields,NW4 4LX,R,Monday
Southover,N12 7ES,R,Wednesday
Southway,NW11 6RU,R,Friday
Southway,N20 8DB,R,Wednesday
Spalding Close,HA8 0JR,R,Monday
Spaniards Close,NW11 6TH,R,Friday
Spaniards End,NW3 7JG,R,Friday
Spaniards Road,NW3 7JD,R,Friday
Sparkford Gardens,N11 3GT,R,Wednesday
Spencer Drive,N2 0QT,R,Friday
Spencer Road,N11 1JX,R,Wednesday
Spilsby Close,NW9 5WR,R,Monday
Spring Close,EN5 2UR,R,Tuesday
Springfield Close,N12 7NT,R,Thursday
Springwood Crescent,HA8 8FS,R,Monday
Spur Road,,R,Monday
Squires Lane,N3 2AA,R,Thursday
Squirrels Close,N12 8AY,R,Wednesday
ST. ALBANS ROAD,EN5 4JX,R,Tuesday
ST. ALPHAGE WALK, HA8,R,Monday
ST. ANDREWS ROAD,NW11 0PH,R,Friday
ST. ANDREW'S CLOSE,N12 8BA,R,Wednesday
ST. ANNA ROAD,EN5 2QJ,R,Tuesday
ST. DAVIDS PLACE,NW4 3PJ,R,Monday
ST. EDWARDS CLOSE,NW11 7NA,R,Friday
ST. GEORGES CLOSE,NW11 0LT,R,Friday
ST. GEORGES ROAD,NW11 0LR,R,Friday
ST. JAMES AVENUE,N20 0JS,R,Wednesday
ST. JAMES CLOSE,,R,Tuesday
ST. JOHNS ROAD,NW11 0PG,R,Friday
ST. JOHN'S AVENUE,N11 3BX,R,Wednesday
ST. JOSEPHS GROVE, NW4,R,Monday
ST. MARGARETS AVENUE,N20 9LJ,R,Wednesday
ST. MARGARETS ROAD,HA8 9UP,R,Monday
ST. MARKS CLOSE,EN5 5LE,R,Tuesday
ST. MARYS AVENUE,N3 1SW,R,Thursday
ST. MARYS CRESCENT,NW4 4LH,R,Monday
ST. MARYS ROAD,NW11 9UE,R,Friday
ST. MARYS ROAD, N20,R,Wednesday
ST. MARY'S GREEN,N2 0UZ,R,Friday
